,District,95,98,ON,ON+,LPG
0,dolnośląskie,6.63,7.28,7.24,7.15,3.44
1,kujawsko-pomorskie,6.81,7.2,7.05,7.07,3.28
2,lubelskie,6.2,7.03,7.02,6.76,3.05
3,lubuskie,6.1,6.12,6.41,0.0,3.28
4,łódzkie,6.92,7.22,7.09,7.68,3.41
5,małopolskie,6.86,7.09,7.05,7.22,3.51
6,mazowieckie,6.59,6.82,6.99,7.26,3.38
7,opolskie,6.74,7.12,7.37,6.46,3.31
8,podkarpackie,6.52,6.02,6.64,5.89,3.34
9,podlaskie,6.66,6.9,6.64,7.33,3.36
10,pomorskie,6.73,7.01,7.41,7.54,3.38
11,śląskie,6.54,6.77,6.94,7.11,3.21
12,świętokrzyskie,6.47,7.25,6.25,0.0,3.0
13,warmińsko-mazurskie,6.47,6.49,6.81,6.99,3.0
14,wielkopolskie,6.69,7.01,7.04,7.38,3.21
15,zachodniopomorskie,6.58,7.18,7.09,7.53,3.43
16,Polska,6.63,6.97,7.05,7.19,3.34
