District,2022-03-10,2022-03-11,2022-03-12,2022-03-13,2022-03-14,2022-03-15,2022-03-16,2022-03-17,2022-03-18
dolnośląskie,"6,41","6,51","6,57","6,63","6,76","6,76",6.74,6.77,6.71
kujawsko-pomorskie,"6,44","6,57","6,67","6,81","6,9","6,92",6.97,6.91,6.88
lubelskie,"6,15","6,19","6,32","6,2","6,34","6,48",6.42,6.5,6.57
lubuskie,"6,3","6,23","6,12","6,1","6,26","6,18",6.02,6.08,6.43
łódzkie,"6,54","6,67","6,8","6,92","6,98","6,99",6.96,6.95,6.85
małopolskie,"6,5","6,64","6,77","6,86","6,92","6,96",6.88,6.83,6.77
mazowieckie,"6,33","6,47","6,53","6,59","6,72","6,77",6.78,6.68,6.72
opolskie,"6,53","6,64","6,75","6,74","6,8","6,82",6.74,6.72,6.67
podkarpackie,"6,02","6,23","6,35","6,52","6,69","6,84",6.81,6.77,6.79
podlaskie,"6,39","6,54","6,6","6,66","6,51","6,46",6.56,6.37,6.42
pomorskie,"6,47","6,56","6,57","6,73","6,77","6,76",6.8,6.78,6.77
śląskie,"6,32","6,38","6,49","6,54","6,61","6,71",6.74,6.74,6.76
świętokrzyskie,"6,29","6,37","6,35","6,47","6,53","6,71",6.81,6.79,6.74
warmińsko-mazurskie,"6,3","6,41","6,4","6,47","6,44","6,53",6.51,6.38,6.41
wielkopolskie,"6,32","6,48","6,57","6,69","6,74","6,8",6.82,6.8,6.77
zachodniopomorskie,"6,32","6,47","6,4","6,58","6,58","6,73",6.75,6.48,6.57
Polska,"6,37","6,47","6,55","6,63","6,7","6,78",6.78,6.75,6.75
