District,2022-03-10,2022-03-11,2022-03-12,2022-03-13,2022-03-14,2022-03-15,2022-03-16,2022-03-16.1,2022-03-17
dolnośląskie,"6,78","6,87","6,83","7,15","7,15","7,35","7,77","7,77",7.46
kujawsko-pomorskie,"6,71","7,07","7,07","7,07",7,0,0,0,7.64
lubelskie,"6,71","6,71","6,74","6,76","6,64","7,57","7,76","7,76",7.68
lubuskie,"6,86","6,92",0,0,0,0,0,0,0.0
łódzkie,"6,96","7,47","7,47","7,68","7,84","7,84","7,85","7,85",7.98
małopolskie,"6,93","7,07","7,14","7,22","7,18","7,22","7,19","7,19",7.43
mazowieckie,"6,96","7,07","6,9","7,26","7,35","7,5","7,47","7,47",7.42
opolskie,"6,53","6,56","6,56","6,46","6,79","7,34","6,9","6,9",7.17
podkarpackie,"6,29","6,28","6,14","5,89","6,34","6,77","7,89","7,89",7.89
podlaskie,"6,79","6,79","7,25","7,33","7,41","7,64","7,88","7,88",7.77
pomorskie,"7,16","7,47","7,47","7,54","7,68","7,74","7,84","7,84",7.89
śląskie,"6,67","6,8","6,79","7,11","7,24","7,55","7,81","7,81",7.78
świętokrzyskie,"7,03","7,03","7,06",0,"8,09","7,52","7,52","7,52",7.54
warmińsko-mazurskie,"6,92","6,92","6,99","6,99","6,31","6,31","6,96","6,96",6.96
wielkopolskie,"5,99","6,05","7,08","7,38","7,38","7,38","7,69","7,69",8.05
zachodniopomorskie,"7,13","7,27","7,27","7,53","7,68","7,97","8,14","8,14",8.16
Polska,"6,81","6,91",7,"7,19","7,23","7,49","7,54","7,54",7.55
