,District,2022-03-10,2022-03-11,2022-03-12,2022-03-13,2022-03-14,2022-03-15
0,dolnośląskie,"6,77","6,86","6,98","7,24","7,4",7.42
1,kujawsko-pomorskie,"6,82","6,88","6,92","7,05","7,33",7.42
2,lubelskie,"6,65","6,63","6,83","7,02","7,09",7.25
3,lubuskie,"6,49","6,51","6,4","6,41","6,57",6.33
4,łódzkie,"6,61","6,64","6,76","7,09","7,25",7.36
5,małopolskie,"6,71","6,8","6,9","7,05","7,24",7.38
6,mazowieckie,"6,54","6,66","6,77","6,99","7,23",7.26
7,opolskie,"6,88","6,96","7,29","7,37","7,49",7.55
8,podkarpackie,"6,49","6,46","6,44","6,64","6,61",6.86
9,podlaskie,"6,37","6,53","6,54","6,64","6,6",6.58
10,pomorskie,"6,94","7,1","7,31","7,41","7,41",7.33
11,śląskie,"6,6","6,66","6,78","6,94","7,07",7.15
12,świętokrzyskie,"6,78","6,53","6,4","6,25","6,8",7.03
13,warmińsko-mazurskie,"6,46","6,44","6,86","6,81","6,85",7.16
14,wielkopolskie,"6,49","6,6","6,86","7,04","7,14",7.23
15,zachodniopomorskie,"6,59","6,66","6,68","7,09","6,99",7.32
16,Polska,"6,66","6,73","6,86","7,05","7,2",7.31
